"DISTRITO","REGIMEN","PROVINCIA","CODIGO.AMIE","INSTITUCION","BAJO.MATRICULA.USD","BAJO.PENSION.USD","X36MESES.MATRICULA.USD","X36.MESES.PENSION.USD","INICIAL.MATRICULA.USD","INICIAL.PENSION.USD","BASICA.MATRICULA.USD","BASICA.PENSION.USD","BASICASUP.MATRICULA.USD","BASICASUP.PENSION.USD","BACH.MATRICULA.USD","BACH.PENSION.USD"
"09D01","COSTA","GUAYAS","09H02320","UNIDAD EDUCATIVA PARTICUAR NUESTRA SEÑORA DEL QUINCHE",0,0,0,0,18.71,29.93,20.69,33.1,20.69,33.1,20.69,33.1
"09D01","COSTA","GUAYAS","09H02324","ESCUELA DE EDUCACIÓN BÁSICA EL RINCÓN DE LA TIA BACHITA",0,0,0,0,19.7,31.52,19.7,31.52,0,0,0,0
"09D01","COSTA","GUAYAS","09H02331","ESCUELA DE EDUCACIÓN BÁSICA PARTICULAR PROVINCIA DE GALAPAGOS",0,0,0,0,15.88,25.41,15.88,25.41,15.88,25.41,0,0
"09D01","COSTA","GUAYAS","09H02338","ESCUELA DE EDUCACIÓN BÁSICA JUAN ILLINGORTH HUNT",0,0,0,0,0,0,11.61,18.57,0,0,0,0
"09D01","COSTA","GUAYAS","09H02345","ESCUELA DE EDUCACIÓN BÁSICA COMPLETA NUERSTRA SEÑORA DEL SAGRADO CORAZÓN",0,0,0,0,32.22,51.56,36.75,58.81,36.75,58.81,0,0
"09D01","COSTA","GUAYAS","09H02355","MIS PRIMERAS CREACIONES",0,0,56.15,89.84,56.15,89.84,0,0,0,0,0,0
"09D01","COSTA","GUAYAS","09H02361","NUEVO AMANECER",0,0,0,0,13.29,21.26,13.29,21.26,13.29,21.26,0,0
"09D01","COSTA","GUAYAS","09H02365","ESCUELA DE EDUCACIÓN BÁSICA SAN FRANCISCO DE QUITO",0,0,0,0,16.69,26.7,24.38,39.01,24.38,39.01,0,0
"09D01","COSTA","GUAYAS","09H02365","ESCUELA DE EDUCACIÓN BÁSICA SAN FRANCISCO DE QUITO (PARA TODOS LOS ESTUDIANTES NUEVOS QUE INGRESARON A PARTIR DEL PERÍODO 2016-2017)",0,0,0,0,18,28.8,25.55,40.89,25.55,40.89,0,0
"09D01","COSTA","GUAYAS","09H02371","ESCUELA DE EDUCACIÓN BÁSICA PARTICULAR MERCEDES JIJON DE VIVANCO",0,0,0,0,14.77,23.64,24.13,38.61,0,0,0,0
"09D01","COSTA","GUAYAS","09H02379","ESCUELA DE EDUCACIÓN BÁSICA RÍO DE JANEIRO",0,0,0,0,53.19,85.11,54.18,86.69,0,0,0,0
"09D01","COSTA","GUAYAS","09H02380","UNIDAD EDUCATIVA PEDAGOGICA LATINOAMERICANA",0,0,0,0,112.58,180.12,112.58,180.12,112.58,180.12,0,0
"09D01","COSTA","GUAYAS","09H02384","UNIDAD EDUCATIVA PARTICULAR DANIEL COMBONI",0,0,0,0,33.31,53.3,36.08,57.73,36.08,57.73,37.94,60.7
"09D01","COSTA","GUAYAS","09H02386","ESCUELA DE EDUCACIÓN BÁSICA PARTICULAR JESÚS DEL GRAN PODER",0,0,0,0,23.06,36.89,23.06,36.89,0,0,0,0
"09D01","COSTA","GUAYAS","09H02388","ESCUELA DE EDUCACIÓN BÁSICA RETACITOS",0,0,0,0,27.28,43.65,27.28,43.65,0,0,0,0
"09D01","COSTA","GUAYAS","09H02392","DR JOSÉ MIGUEL GARCIA MORENO",0,0,0,0,39.99,63.98,39.99,63.98,39.99,63.98,39.99,63.98
"09D01","COSTA","GUAYAS","09H02402","ESCUELA DE EDUCACIÓN BÁSICA LOS ALMENDROS",0,0,0,0,83.74,133.98,95.29,152.46,0,0,0,0
"09D01","COSTA","GUAYAS","09H02407","ESCUELA DE EDUCACIÓN BÁSICA JOSÉ DE VILLAMIL",0,0,0,0,14.89,23.83,14.89,23.83,0,0,0,0
"09D01","COSTA","GUAYAS","09H02407","ESCUELA DE EDUCACIÓN BÁSICA JOSÉ DE VILLAMIL (PARA TODOS LOS ESTUDIANTES NUEVOS QUE INGRESARON A PARTIR DEL PERÍODO 2016-2017)",0,0,0,0,17.63,28.2,17.63,28.2,0,0,0,0
"09D01","COSTA","GUAYAS","09H02410","ESCUELA DE EDUCACIÓN BÁSICA MONSEÑOR ROBERTO MARÍA DEL POZO",0,0,0,0,30.62,49,30.62,49,30.62,49,0,0
"09D01","COSTA","GUAYAS","09H02410","ESCUELA DE EDUCACIÓN BÁSICA MONSEÑOR ROBERTO MARÍA DEL POZO (PARA TODOS LOS ESTUDIANTES NUEVOS QUE INGRESARON A PARTIR DEL PERÍODO 2016-2017)",0,0,0,0,30.77,49.24,30.77,49.24,30.77,49.24,0,0
"09D01","COSTA","GUAYAS","09H02413","SEGUIDORES DE JESÚS",0,0,0,0,0,0,15,24,0,0,0,0
"09D01","COSTA","GUAYAS","09H02413","SEGUIDORES DE JESÚS (PARA TODOS LOS ESTUDIANTES NUEVOS QUE INGRESARON A PARTIR DEL PERÍODO 2016-2017)",0,0,0,0,0,0,17.11,27.38,0,0,0,0
"09D01","COSTA","GUAYAS","09H02414","UNIDAD EDUCATIVA DR MANUEL ELICIO FLOR",0,0,0,0,0,0,49.71,79.53,49.71,79.53,65,104
"09D01","COSTA","GUAYAS","09H02424","UNIDAD EDUCATIVA PARTICULAR SUIZA",0,0,0,0,21.66,34.65,21.66,34.65,21.66,34.65,21.66,34.65
"09D01","COSTA","GUAYAS","09H02426","UNIDAD EDUCATIVA PARTICULAR SAGRADA FAMILIA",0,0,0,0,25.14,40.23,29.98,47.96,29.98,47.96,29.98,47.96
"09D01","COSTA","GUAYAS","09H02436","UNIDAD EDUCATIVA PARTICULAR CIUDAD DE CUENCA",0,0,0,0,11.82,18.91,14.77,23.64,13.43,21.49,13.43,21.49
"09D01","COSTA","GUAYAS","09H02445","ESCUELA EDUCACIÓN BÁSICA SINAI 1003",0,0,0,0,0,0,21.88,35,0,0,0,0
"09D01","COSTA","GUAYAS","09H02450","UNIDAD EDUCATIVA SANTIAGO DE LAS PRADERAS",0,0,0,0,58.51,93.61,69.15,110.64,69.15,110.64,72.34,115.75
"09D01","COSTA","GUAYAS","09H02458","GABRIEL OLMEDO ARROBA ESPINOZA",0,0,11.56,18.5,11.56,18.5,11.56,18.5,0,0,0,0
"09D01","COSTA","GUAYAS","09H02462","GRANCOLOMBIANO",0,0,0,0,51.59,82.55,49.25,78.8,64.02,102.44,64.02,102.44
"09D01","COSTA","GUAYAS","09H02482","UNIDAD EDUCATIVA BALTASARA CALDERÓN DE ROCAFUERTE",0,0,0,0,39.4,63.04,51.54,82.46,51.54,82.46,51.54,82.46
"09D01","COSTA","GUAYAS","09H02487","ESCUELA REY SALOMÓN",0,0,0,0,0,0,23.79,38.06,0,0,0,0
"09D01","COSTA","GUAYAS","09H02490","ESCUELA DE EDUCACIÓN BÁSICA JULIO PEÑA BERMEO",0,0,0,0,20.53,32.84,20.53,32.84,0,0,0,0
"09D01","COSTA","GUAYAS","09H02498","ESCUELA PARTICULAR 704 DANIEL GUADAMUD",0,0,0,0,0,0,27.5,44,0,0,0,0
"09D01","COSTA","GUAYAS","09H02508","AMPARO ESPINOSA DE UNDA",0,0,86.69,138.7,86.69,138.7,86.69,138.7,0,0,0,0
"09D01","COSTA","GUAYAS","09H02516","ESCUELA DE EDUCACIÓN BÁSICA PARTICULAR ANTONIO NEUMANE",0,0,0,0,0,0,17.19,27.5,0,0,0,0
"09D01","COSTA","GUAYAS","09H02525","UNIDAD EDUCATIVA PARTICULAR INTERNATIONAL SCHOOL",0,0,114.23,182.77,114.23,182.77,114.23,182.77,131.16,209.85,131.16,209.85
"09D01","COSTA","GUAYAS","09H02525","UNIDAD EDUCATIVA PARTICULAR INTERNATIONAL SCHOOL (PARA TODOS LOS ESTUDIANTES NUEVOS QUE INGRESARON A PARTIR DEL PERÍODO 2016-2017)",0,0,130.17,208.27,130.17,208.27,130.17,208.27,147.1,235.35,147.1,235.35
"09D01","COSTA","GUAYAS","09H02527","ESTUDIO DE LA CIENCIA Y OBSERVATORÍO DE LA VIDA",0,0,0,0,0,0,11.88,19,0,0,0,0
"09D01","COSTA","GUAYAS","09H02527","ESTUDIO DE LA CIENCIA Y OBSERVATORÍO DE LA VIDA (PARA TODOS LOS ESTUDIANTES NUEVOS QUE INGRESARON A PARTIR DEL PERÍODO 2016-2017)",0,0,0,0,0,0,13.14,21.02,0,0,0,0
"09D01","COSTA","GUAYAS","09H02530","CENTRO DE EDUCACIÓN INICIAL ANGEL DE LA GUARDA PARTICULAR",0,0,0,0,146.74,234.78,0,0,0,0,0,0
"09D01","COSTA","GUAYAS","09H02540","ESCUELA DE EDUCACIÓN BÁSICA PARTICULAR JUAN MONTALVO",0,0,0,0,18.76,30.01,21.12,33.79,0,0,0,0
"09D01","COSTA","GUAYAS","09H02548","ESCUELA DE EDUACION BÁSICA CONSTELACION DEL SUR",0,0,0,0,39.4,63.04,39.4,63.04,45.14,72.22,0,0
"09D01","COSTA","GUAYAS","09H02552","CONTINENTE AMERICANO",0,0,0,0,24.62,39.4,31.51,50.42,0,0,0,0
"09D01","COSTA","GUAYAS","09H02554","UNIDAD EDUCATIVA PARTICULAR ALMIRANTE THOMAS CHARLES WRIGHT MONTGOMERY",0,0,0,0,0,0,0,0,42.36,67.77,42.36,67.77
"09D01","COSTA","GUAYAS","09H02557","ESCUELA DE EDUCACIÓN BÁSICA PARTICULAR ABDON CALDERÓN GARAICOA",0,0,0,0,34.47,55.15,34.47,55.15,0,0,0,0
"09D01","COSTA","GUAYAS","09H02582","LCDA LEÓNOR EUGENIA MARIDUEÑA FRANCO DE ACUÑA",0,0,0,0,0,0,19.59,31.35,0,0,0,0
"09D01","COSTA","GUAYAS","09H02599","MISAEL ACOSTA SOLIS",0,0,0,0,0,0,21.92,35.07,0,0,0,0
"09D01","COSTA","GUAYAS","09H02603","UNIDAD EDUCATIVA MADRID",0,0,0,0,38.68,61.89,39.66,63.45,39.66,63.45,0,0
"09D01","COSTA","GUAYAS","09H02603","UNIDAD EDUCATIVA MADRID (PARA TODOS LOS ESTUDIANTES NUEVOS QUE INGRESARON A PARTIR DEL PERÍODO 2016-2017)",0,0,0,0,42.94,68.7,43.91,70.25,43.91,70.25,0,0
"09D01","COSTA","GUAYAS","09H02650","UNIDAD EDUCATIVA ADVENTISTA DEL PACÍFICO",0,0,0,0,51.22,81.95,51.22,81.95,64.25,102.8,64.25,102.8
"09D01","COSTA","GUAYAS","09H05238","ESCUELA DE EDUCACIÓN BÁSICA PARTICULAR JEAN PIAGET",0,0,0,0,12.51,20.01,12.51,20.01,0,0,0,0
"09D01","COSTA","GUAYAS","09H05273","CENTRO DE EDUCACIÓN INICIAL PARTICULAR “RATON MIGUELITO”",0,0,0,0,34.38,55,0,0,0,0,0,0
"09D01","COSTA","GUAYAS","09H05565","ESCUELA DE EDUCACIÓN BÁSICA DOLORES VEINTIMILLA DE GALINDO",0,0,0,0,15.89,25.42,22.69,36.3,0,0,0,0
"09D01","COSTA","GUAYAS","09H05643","UNIDAD EDUCATIVA FISCOMISIONAL SEMIPRESENCIAL PCEI DON BOSCO DEL GUAYAS",0,0,0,0,0,0,7.11,11.37,7.11,11.37,7.11,11.37
"09D01","COSTA","GUAYAS","09H05800","ESCUELA EL SABER ES PODER",0,0,57.47,91.96,43.2,69.12,34.47,55.16,0,0,0,0
"09D01","COSTA","GUAYAS","09H05800","ESCUELA EL SABER ES PODER (PARA TODOS LOS ESTUDIANTES NUEVOS QUE INGRESARON A PARTIR DEL PERÍODO 2016-2017)",0,0,57.6,92.16,43.39,69.42,34.6,55.36,0,0,0,0
"09D01","COSTA","GUAYAS","09H06025","CARLITOS MORA PEÑAFIEL",0,0,0,0,15.54,24.86,15.54,24.86,0,0,0,0
"09D01","COSTA","GUAYAS","09H06214","CENTRO DE EDUCACIÓN INICIAL PLAZA DAÑIN",0,0,98.5,131.34,82.09,131.34,0,0,0,0,0,0
"09D01","COSTA","GUAYAS","09H06661","ESCUELA DE EDUCACIÓN BÁSICA PABLO PICASSO",0,0,0,0,20.62,33,20.62,33,0,0,0,0
"09D02","COSTA","GUAYAS","09H00078","UNIDAD EDUCATIVA SANTA MARÍA DE LOS ANGELES",0,0,0,0,45.67,73.07,48.12,77,48.12,77,48.12,77
"09D02","COSTA","GUAYAS","09H00078","UNIDAD EDUCATIVA SANTA MARÍA DE LOS ANGELES (PARA TODOS LOS ESTUDIANTES NUEVOS QUE INGRESARON A PARTIR DEL PERÍODO 2016-2017)",0,0,0,0,46.3,74.07,48.27,77.23,48.27,77.23,48.27,77.23
"09D02","COSTA","GUAYAS","09H00134","ESCUELA DE EDUCACIÓN BÁSICA PARTICULAR MANUELA CAÑIZARES",0,0,0,0,0,0,13.35,21.36,0,0,0,0
"09D02","COSTA","GUAYAS","09H00457","SIR FRANCISCO BACON",0,0,0,0,0,0,59.65,95.44,59.65,95.44,59.65,95.44
"09D02","COSTA","GUAYAS","09H00457","SIR FRANCISCO BACON (PARA TODOS LOS ESTUDIANTES NUEVOS QUE INGRESARON A PARTIR DEL PERÍODO 2016-2017)",0,0,0,0,0,0,60.32,96.53,60.32,96.53,60.32,96.53
"09D02","COSTA","GUAYAS","09H01495","ISLA DE MADAGASCAR",0,0,0,0,16.32,26.12,0,0,0,0,0,0
"09D02","COSTA","GUAYAS","09H01836","CENTRO DE EDUCACIÓN INICIAL PARTICULAR GUAYAQUIL",0,0,0,0,23.22,37.15,23.22,37.15,0,0,0,0
"09D02","COSTA","GUAYAS","09H01939","UNIDAD EDUCATIVA SAN LUIS",0,0,0,0,0,0,0,0,30,48,30,48
"09D02","COSTA","GUAYAS","09H01968","ESCUELA DE EDUCACIÓN BÁSICA NUMA POMPILLO LLONA",0,0,0,0,0,0,34.19,54.71,0,0,0,0
"09D02","COSTA","GUAYAS","09H02022","ESCUELA DE EDUCACIÓN BÁSICA PARTICULAR MANUELA ESPEJO",0,0,0,0,0,0,26.2,41.92,0,0,0,0
"09D02","COSTA","GUAYAS","09H02025","UNIDAD EDUCATIVA PARTICULAR HUGO ORTIZ GARCÉS",0,0,0,0,33.48,53.57,35.46,56.74,35.46,56.74,36.44,58.3
"09D02","COSTA","GUAYAS","09H02033","ESCUELA DE EDUCACIÓN BÁSICA PARTICULAR ANA MARÍA IZA",0,0,0,0,18.75,30,18.75,30,0,0,0,0
"09D02","COSTA","GUAYAS","09H02039","YASUNI",0,0,0,0,12.76,20.41,12.76,20.41,0,0,0,0
"09D02","COSTA","GUAYAS","09H02040","ESCUELA DE EDUCACIÓN BÁSICA PARTICULAR PALESTINA",0,0,0,0,30.26,48.42,30.26,48.42,0,0,0,0
"09D02","COSTA","GUAYAS","09H02057","UNIDAD EDUCATIVA SANTA ROSA DE LIMA",0,0,0,0,27.91,44.65,27.91,44.65,0,0,0,0
"09D02","COSTA","GUAYAS","09H02064","ESCUELA DE EDUCACIÓN BÁSICA PARTICULAR DIEGO NOBOA",0,0,0,0,0,0,15.63,25.01,0,0,0,0
"09D02","COSTA","GUAYAS","09H02066","PABLO PALACIOS SUÁREZ",0,0,0,0,0,0,16.34,26.14,0,0,0,0
"09D02","COSTA","GUAYAS","09H02069","PROVINCIA DE ESMERALDAS",0,0,0,0,0,0,14.86,23.77,0,0,0,0
"09D02","COSTA","GUAYAS","09H02069","PROVINCIA DE ESMERALDAS (PARA TODOS LOS ESTUDIANTES NUEVOS QUE INGRESARON A PARTIR DEL PERÍODO 2016-2017)",0,0,0,0,0,0,17.13,27.4,0,0,0,0
"09D02","COSTA","GUAYAS","09H02072","ESCUELA DE EDUCACIÓN BÁSICA PARTICULAR PADRE JUAN DE VELASCO",0,0,0,0,11.61,18.57,11.61,18.57,0,0,0,0
"09D02","COSTA","GUAYAS","09H02072","ESCUELA DE EDUCACIÓN BÁSICA PARTICULAR PADRE JUAN DE VELASCO (PARA TODOS LOS ESTUDIANTES NUEVOS QUE INGRESARON A PARTIR DEL PERÍODO 2016-2017)",0,0,0,0,11.67,18.68,11.67,18.68,0,0,0,0
"09D02","COSTA","GUAYAS","09H02074","ESCUELA DE EDUCACIÓN BÁSICA NUESTRA SEÑORA DE LA SALUD",0,0,0,0,0,0,4.98,7.96,0,0,0,0
